ssn,phone,city,maritalstatus,fullname,birthdate
429-44-1283,(08)-2926-2735,Tulsa (Oklahoma),Divorced,Teodora Gaskell,1972-03-01
177-93-1339,(05)-9999-7286,Miami (Florida),Single,Dovie Yang,1969-07-23
381-34-1067,(03)-6745-7456,Newark (New Jersey),Common-Law,Kimbra Connolly,1983-07-16
116-74-1156,(03)-9854-1764,San Diego (California),Divorced,Gabriella Lewter,1976-06-22
408-51-1332,(07)-9854-4983,Aurora (Colorado),Divorced,Melissa Truman,1980-10-12
224-60-1217,(03)-7905-2115,Omaha (Nebraska),Single,Sharen Rudy,1978-04-16
177-30-1288,(03)-6865-1433,New Orleans (Louisiana),Divorced,Harold Gessner,1974-01-26
177-85-1359,(08)-2905-8055,Henderson (Nevada),Married,Marilynn Moon,1984-11-23
279-60-1423,(09)-6191-3262,Jacksonville (Florida),Common-Law,Romona Waddell,1977-06-29
381-93-1021,(07)-9235-4983,Boise (Idaho),Married,Yolanda Cone,1970-12-06
368-32-1629,(05)-5062-8507,Buffalo (New York),Common-Law,Archie Penny,1988-07-06
279-44-1757,(07)-3433-6535,San Jose (California),Single,Janita Mulloy,1973-02-16
429-82-1492,(03)-1199-2714,Houston (Texas),Common-Law,Gigi Chu,1980-03-12
216-85-1093,(08)-8435-1633,Los Angeles (California),Divorced,Reva Branch,1988-10-01
177-44-1514,(08)-5062-7887,North Las Vegas (Nevada),Common-Law,Jayne Roe,1970-04-21
216-54-1664,(08)-6191-1247,Orlando (Florida),Common-Law,Walton Booze,1971-04-05
216-82-1327,(05)-5050-4339,Indianapolis[11] (Indiana),Single,Luke Aleman,1990-03-25
166-60-1339,(04)-9999-1433,Philadelphia[8] (Pennsylvania),Common-Law,Treva Flaherty,1987-09-19
166-82-1545,(03)-3320-5119,Chicago (Illinois),Single,Perla Dowdell,1984-02-08
238-55-1757,(03)-5050-2714,North Las Vegas (Nevada),Married,Melanie Petri,1977-11-04
323-30-1605,(09)-9365-3554,Fremont (California),Common-Law,Mattie Mounts,1983-11-16
323-32-1399,(03)-5592-9910,Indianapolis[11] (Indiana),Divorced,Janay Cruz,1977-05-22
339-54-1579,(03)-7703-7286,Winston–Salem (North Carolina),Single,Joann Myer,1982-09-15
177-31-1285,(08)-3433-8548,Reno (Nevada),Single,Eun Huizar,1985-11-25
177-81-1376,(09)-1199-9114,Reno (Nevada),Married,Alena Usher,1983-02-27
381-54-1950,(09)-6473-5801,San Antonio (Texas),Single,Lila Defilippo,1985-09-19
301-34-1519,(05)-5502-4870,Plano (Texas),Common-Law,Selena Houle,1979-02-04
408-23-1367,(03)-5902-9130,Cincinnati (Ohio),Married,Julius Pernell,1982-08-09
166-18-1324,(05)-4370-2611,Virginia Beach (Virginia),Single,Sadie Mart,1979-11-13
177-32-1891,(08)-5179-6781,Jacksonville (Florida),Married,Lucia Chitty,1982-08-14
368-46-1771,(03)-3460-4206,Norfolk (Virginia),Single,Taryn Herring,1988-06-28
287-99-1240,(05)-8288-5036,Laredo (Texas),Single,Rosalinda Musgrove,1978-07-29
138-44-1199,(03)-5002-5019,Richmond (Virginia),Married,Ella Cole,1978-11-07
287-51-1301,(04)-4286-5970,Irving (Texas),Married,Julian Brennan,1988-01-05
339-23-1401,(09)-8685-4394,Garland (Texas),Common-Law,Esther Mejia,1984-08-16
425-82-1338,(08)-5592-1791,Hialeah (Florida),Divorced,Jeremiah Hinton,1975-01-27
287-55-1469,(05)-6812-6629,Toledo (Ohio),Divorced,Carlene Kostka,1970-09-20
216-82-1051,(03)-9365-2315,Stockton (California),Divorced,Katrina Dalton,1976-07-04
323-23-1067,(04)-4370-5036,Cleveland (Ohio),Married,Freddie Watanabe,1978-07-25
339-60-1506,(03)-5125-6766,Richmond (Virginia),Common-Law,Benton Osteen,1976-05-03
368-81-1992,(07)-1350-9187,Glendale (Arizona),Single,Miriam Eversole,1980-04-17
116-18-1922,(03)-2926-8405,Oklahoma City (Oklahoma),Divorced,Andera Coughlin,1981-04-25
177-74-1417,(04)-5179-4339,Durham (North Carolina),Common-Law,Celia Brewer,1979-12-29
144-34-1747,(05)-7504-1633,Albuquerque (New Mexico),Single,Fabian Barrientes,1989-04-11
224-32-1374,(04)-5902-6500,Gilbert (Arizona),Divorced,Anne Hecker,1985-08-13
425-82-1479,(08)-3949-1452,Detroit (Michigan),Single,Pennie Grover,1990-01-05
238-18-1083,(05)-7504-6898,Charlotte (North Carolina),Single,Estela Ahmed,1971-11-06
368-81-1666,(09)-9854-5241,Henderson (Nevada),Common-Law,Dorthy Hanes,1973-06-19
224-23-1227,(04)-6745-5952,New Orleans (Louisiana),Common-Law,Abel Auxier,1977-07-09
138-99-1093,(09)-9235-1423,Tucson (Arizona),Divorced,Otis Gilmer,1977-01-20
408-44-1051,(09)-3460-8942,Los Angeles (California),Single,Rudolf Battle,1976-05-17
279-44-1074,(08)-5580-7208,Riverside (California),Married,Lydia Fierro,1990-04-22
166-83-1642,(04)-9292-5970,Portland (Oregon),Common-Law,Clemmie Hilbert,1982-01-21
368-18-1739,(09)-6191-9661,Glendale (Arizona),Single,Blanca Gabriel,1987-07-31
224-23-1050,(05)-2298-1114,Chula Vista (California),Single,Corinna Richmond,1980-12-28
177-81-1469,(08)-3468-8405,Chula Vista (California),Divorced,Mariano Kenworthy,1979-12-04
116-85-1359,(08)-9292-2611,Minneapolis (Minnesota),Divorced,Kari Just,1985-04-16
144-81-1145,(08)-7508-1791,Chicago (Illinois),Married,Samual Chamberlain,1976-12-19
138-54-1529,(08)-5592-1633,Chula Vista (California),Divorced,Beverly Marsden,1976-10-12
323-44-1733,(03)-6486-6535,San Antonio (Texas),Single,Freddy Showers,1989-01-16
279-74-1217,(07)-4286-4634,Tucson (Arizona),Common-Law,Catherine Herring,1974-04-14
138-31-1417,(08)-3433-1079,Indianapolis[11] (Indiana),Married,Bari Winter,1986-04-18
224-25-1259,(03)-6745-1452,Santa Ana (California),Common-Law,Bertie Bartley,1978-03-19
323-54-1680,(09)-4370-5801,Saint Paul (Minnesota),Divorced,Harriet Noble,1970-02-10
238-55-1345,(05)-5179-5952,Cincinnati (Ohio),Common-Law,Birgit Ybarra,1978-04-20
339-83-1519,(07)-8435-7659,Tampa (Florida),Single,Madie Alvarez,1971-05-09
216-31-1345,(03)-4858-5326,Hialeah (Florida),Married,Ilse Eady,1975-02-26
216-74-1216,(04)-8288-1247,Reno (Nevada),Single,Sal Olinger,1969-08-21
279-44-1156,(07)-3433-8568,Winston–Salem (North Carolina),Divorced,Joel Renaud,1979-06-23
279-99-1757,(07)-6812-9114,Santa Ana (California),Divorced,Deanna Kauffman,1980-09-04
224-31-1731,(09)-4370-6681,Los Angeles (California),Single,Sergio Shapiro,1973-01-14
238-25-1137,(04)-4370-7818,Tulsa (Oklahoma),Married,Ernie Hundt,1971-12-20
429-60-1491,(08)-2905-7527,San Jose (California),Single,Vergie Wilder,1969-07-06
408-82-1269,(05)-3339-4508,Houston (Texas),Divorced,Sylvester Meinhardt,1984-09-24
320-18-1378,(03)-8288-2315,Minneapolis (Minnesota),Single,Merrill Collins,1978-12-16
144-44-1053,(07)-8288-9114,Dallas (Texas),Common-Law,Lavonne Zavala,1988-10-06
177-99-1995,(04)-5062-3038,Kansas City (Missouri),Divorced,Crista Finney,1971-08-07
116-46-1156,(09)-4286-6766,Chicago (Illinois),Divorced,Fred Ambriz,1986-07-28
238-34-1753,(04)-8288-9661,Lexington (Kentucky),Divorced,Rudolph Still,1982-04-29
224-44-1957,(07)-1350-5019,Raleigh (North Carolina),Divorced,Nicki Wilder,1973-10-22
323-99-1021,(08)-5002-6922,Lexington (Kentucky),Single,Tyson Rojo,1976-01-07
381-83-1907,(08)-9333-5867,Nashville (Tennessee),Common-Law,Alison Russell,1972-10-11
429-34-1159,(05)-6191-5019,Fort Wayne (Indiana),Common-Law,Neal Wysong,1969-04-13
339-32-1924,(03)-3460-2465,San Francisco (California),Divorced,Lyda Kenyon,1989-07-02
391-85-1025,(09)-9365-3197,Durham (North Carolina),Single,Bernard Hayes,1984-05-29
287-18-1828,(04)-5125-7191,Madison (Wisconsin),Common-Law,Chad Pare,1986-11-05
425-34-1501,(09)-2298-2611,Columbus (Ohio),Common-Law,Carolyn Sousa,1977-01-26
368-34-1341,(07)-6473-7887,Greensboro (North Carolina),Single,Fiona Ruble,1980-08-30
216-82-1433,(03)-4370-5952,Anaheim (California),Married,Serena Camacho,1988-01-10
216-54-1374,(07)-3949-1114,Scottsdale (Arizona),Single,Jacquelynn Mendelson,1990-03-20
323-54-1635,(04)-9999-1247,Miami (Florida),Common-Law,Carmela Jennings,1979-05-02
138-23-1530,(05)-5330-1791,Irvine (California),Common-Law,Amanda Mcclay,1979-01-31
238-25-1224,(07)-9999-8567,Lexington (Kentucky),Divorced,Abby Pike,1981-12-03
116-55-1974,(09)-5502-6922,Chicago (Illinois),Divorced,Carissa Brantley,1972-02-24
381-54-1958,(04)-1350-6502,Pittsburgh (Pennsylvania),Divorced,Chandra Boudreaux,1981-07-31
177-31-1051,(09)-3858-4634,Fremont (California),Married,Ryan Pittman,1990-11-24
408-18-1856,(08)-7703-3997,Irvine (California),Single,Dedra Scott,1986-11-04
391-25-1811,(08)-6975-8942,Phoenix (Arizona),Divorced,Simon Manley,1979-07-22
339-32-1156,(05)-3339-1179,Miami (Florida),Divorced,Wilfred Book,1983-05-15
391-74-1647,(09)-3339-8568,Denver (Colorado),Single,Danilo Clabaugh,1980-10-06
425-23-1227,(05)-5592-9661,Pittsburgh (Pennsylvania),Married,Shoshana Lindsey,1982-10-07
339-30-1315,(05)-7905-5202,Santa Ana (California),Single,Cori Beacham,1971-02-12
279-23-1067,(07)-2926-5019,Glendale (Arizona),Divorced,Christal Feeney,1990-10-17
339-46-1012,(03)-5902-4606,Buffalo (New York),Married,Lucia Spitzer,1983-08-22
323-60-1399,(05)-5002-6500,Lincoln (Nebraska),Married,Roxanne Tyson,1975-07-27
166-85-1286,(04)-9365-5970,Riverside (California),Married,Sherita Kwon,1981-07-23
408-34-1723,(08)-5794-7659,Seattle (Washington),Single,Glenda Cates,1978-02-26
138-25-1226,(07)-3433-5075,Chicago (Illinois),Single,Verna Sterns,1979-10-27
339-31-1084,(03)-5125-6500,Arlington (Texas),Common-Law,Noelia Reyes,1989-08-22
224-30-1854,(04)-6486-5119,Columbus (Ohio),Married,Mitsue Scurlock,1974-12-09
429-54-1549,(05)-5854-6922,Wichita (Kansas),Common-Law,Lorriane Gantz,1977-10-16
301-99-1341,(07)-3468-2115,Reno (Nevada),Divorced,Pamela Mccormick,1973-11-11
339-82-1723,(04)-5050-4208,Fort Wayne (Indiana),Single,Ena Butera,1974-11-02
339-34-1718,(09)-6191-8507,Santa Ana (California),Divorced,Katheleen Linker,1977-04-30
138-51-1549,(09)-6473-6362,Newark (New Jersey),Single,Molly Rubio,1976-04-21
323-34-1753,(04)-5580-4508,Henderson (Nevada),Divorced,Alfred Kroll,1981-04-28
301-18-2000,(04)-2905-7527,Irvine (California),Married,Delma Wargo,1987-04-30
238-30-1108,(03)-5592-1433,Bakersfield (California),Common-Law,Livia Spivey,1980-06-03
368-74-1171,(07)-5125-6922,Anaheim (California),Divorced,Joanna Colson,1979-03-20
216-30-1288,(09)-6975-4339,Chicago (Illinois),Married,Charlene Ferreira,1986-11-11
238-99-1043,(04)-5592-6629,Garland (Texas),Common-Law,Domenica Schanz,1984-08-09
339-46-1723,(08)-6486-5970,Durham (North Carolina),Single,Jordan Tweed,1969-06-13
216-34-1521,(03)-5854-5560,Chesapeake (Virginia),Common-Law,Dolly Lawlor,1975-05-07
216-81-1171,(07)-9333-4634,Plano (Texas),Common-Law,Lucien Handley,1978-09-18
339-31-1496,(03)-7504-8405,Austin (Texas),Single,Berry Arline,1971-03-10
216-82-1378,(04)-5854-8568,Washington (District of Columbia),Divorced,Gennie Mcdade,1973-01-27
301-18-1615,(07)-5580-5388,Columbus (Ohio),Common-Law,Caroline Oxford,1984-07-31
116-54-1563,(03)-5902-8432,Sacramento (California),Common-Law,Kami Stamm,1978-11-28
216-85-1943,(08)-6975-6480,Omaha (Nebraska),Divorced,Melva Borders,1969-11-29
368-18-1483,(07)-7973-4345,Boston (Massachusetts),Single,Nicki Malik,1990-01-06
381-46-1655,(09)-3468-7527,Fort Worth (Texas),Divorced,Eloise Mcfadden,1972-11-28
116-99-1519,(05)-4370-2465,Newark (New Jersey),Single,Kieth Loomis,1970-12-18
287-44-1019,(07)-4858-9523,Hialeah (Florida),Single,Leonor Bradley,1987-09-26
391-25-1723,(03)-4858-4339,Winston–Salem (North Carolina),Divorced,Evan Fogle,1970-08-02
301-23-1442,(08)-9854-8193,Pittsburgh (Pennsylvania),Single,Neil Couch,1981-09-21
224-93-1629,(09)-3320-1791,Garland (Texas),Single,Phillip Zimmer,1986-06-08
238-55-1022,(08)-3468-8223,Anaheim (California),Married,Richie Teague,1970-03-08
144-32-1378,(03)-3460-3038,Fort Wayne (Indiana),Divorced,Ping Delamora,1990-04-10
429-93-1283,(04)-9854-3554,Lexington (Kentucky),Common-Law,Mitsue Cournoyer,1975-07-30
216-99-1856,(04)-6745-6500,Newark (New Jersey),Single,Thomas Zucker,1988-12-15
391-99-1291,(03)-3949-6781,Cleveland (Ohio),Common-Law,Juanita Trejo,1988-09-26
224-81-1981,(03)-5502-8640,Baltimore (Maryland),Common-Law,Rory Payne,1973-02-10
429-46-1692,(08)-1199-2735,Las Vegas (Nevada),Common-Law,Terrie Salinas,1984-04-03
224-60-1801,(04)-2298-9187,Newark (New Jersey),Common-Law,Sal Holland,1970-07-17
323-23-1907,(09)-5902-1452,Cincinnati (Ohio),Divorced,Dodie Jarrell,1981-08-15
287-18-1145,(08)-8288-7887,Houston (Texas),Single,Cordell Hatch,1984-04-03
238-81-1858,(09)-3433-4634,Fort Worth (Texas),Common-Law,Jenny Degarmo,1983-10-19
279-85-1423,(08)-9292-3197,Richmond (Virginia),Single,Jonna Pastore,1971-06-19
177-30-1666,(05)-6473-7414,Cincinnati (Ohio),Married,Whitney Ruppe,1985-07-16
339-51-1924,(05)-5902-2315,San Jose (California),Divorced,Dan Hassan,1977-06-05
408-74-1163,(04)-5330-8548,Arlington (Texas),Married,Dwight Helton,1975-05-01
138-32-1703,(04)-5502-1633,Scottsdale (Arizona),Single,Ronnie Synder,1974-10-29
144-31-1393,(09)-9292-9661,Colorado Springs (Colorado),Married,Ismael Goll,1990-12-31
138-46-1469,(04)-9333-4345,Anchorage (Alaska),Divorced,Robin Lee,1973-07-29
368-83-1664,(09)-5502-5952,Baltimore (Maryland),Common-Law,Houston Dozier,1969-08-31
166-82-1733,(05)-6745-3345,Lincoln (Nebraska),Common-Law,Mandy Joseph,1990-11-21
279-25-1171,(04)-9854-8055,Mesa (Arizona),Divorced,Lloyd Cooper,1970-01-25
301-55-1511,(09)-6812-5119,St. Petersburg (Florida),Divorced,Carole Lynch,1985-05-02
138-51-1413,(04)-3460-3345,Detroit (Michigan),Married,Norbert Rosemond,1979-09-24
339-46-1289,(03)-2905-1433,Durham (North Carolina),Married,Xavier Knutson,1988-02-01
224-51-1235,(07)-1199-8193,Honolulu (Hawaii),Common-Law,Herschel Godbout,1990-05-01
368-51-1635,(05)-6975-1633,Laredo (Texas),Single,Marci Gillis,1978-03-04
116-23-1463,(05)-6473-7352,Anaheim (California),Divorced,Winnie Owens,1979-12-29
429-46-2000,(08)-5794-7414,Portland (Oregon),Married,Everette Mark,1972-08-26
116-46-1924,(03)-3468-1114,Garland (Texas),Divorced,Lucile Holcomb,1969-04-01
320-81-1849,(05)-5902-9523,Durham (North Carolina),Married,Lucas Costilla,1972-08-07
138-99-1259,(05)-7905-1764,Bakersfield (California),Divorced,Kimbra Koonce,1970-12-27
323-32-1851,(09)-5330-5326,Charlotte (North Carolina),Common-Law,Haywood Wenz,1981-04-07
166-32-1101,(05)-6473-9523,Garland (Texas),Single,Luella Heroux,1972-09-26
381-31-1216,(07)-6473-9470,Virginia Beach (Virginia),Divorced,Constance Gruber,1981-08-22
391-81-1647,(05)-8435-7208,Garland (Texas),Divorced,Meagan Deering,1969-08-02
320-60-1405,(03)-4858-8567,Detroit (Michigan),Divorced,Vannesa Gallegos,1980-10-21
238-81-1469,(03)-5146-6681,New York (New York),Divorced,Antione Wentworth,1973-03-28
279-82-1263,(07)-5146-5119,Detroit (Michigan),Common-Law,Jillian Oyler,1985-12-23
368-23-1629,(08)-5330-7191,Milwaukee (Wisconsin),Divorced,Tomas Copeland,1974-11-03
238-82-1378,(08)-3858-7659,Hialeah (Florida),Married,Lonnie Welch,1977-07-01
166-18-1771,(05)-4370-5388,Raleigh (North Carolina),Single,Francesca Maynor,1974-07-05
339-83-1489,(03)-4370-8942,New York (New York),Divorced,Roberta Bearden,1970-08-12
177-18-1922,(07)-6745-3278,Tampa (Florida),Married,Nora Davenport,1987-12-04
408-74-1217,(09)-7905-8548,Kansas City (Missouri),Divorced,Perla Brannon,1982-03-02
408-46-1148,(05)-2298-4444,Miami (Florida),Common-Law,Ada Ball,1975-11-16
216-25-1393,(09)-3433-8193,Santa Ana (California),Common-Law,Chris Roberson,1981-06-11
287-85-1158,(07)-9365-7659,Durham (North Carolina),Divorced,Vickie Brickey,1969-07-10
177-44-1753,(07)-3468-5952,Austin (Texas),Divorced,Clifton Hedrick,1978-12-04
323-83-1011,(04)-3949-4339,Orlando (Florida),Single,Ena Mapes,1983-03-29
279-31-1753,(04)-8435-6502,Henderson (Nevada),Single,Kendra Withrow,1990-11-29
323-83-1851,(09)-6865-7352,New Orleans (Louisiana),Single,Kami Laster,1974-03-16
177-93-1496,(05)-3433-8968,Anaheim (California),Common-Law,Francis Upshaw,1978-01-08
238-83-1733,(08)-5854-1179,Chicago (Illinois),Married,Erika Singer,1975-06-19
279-85-1883,(09)-7504-4345,San Bernardino (California),Married,Kayla Trapp,1969-08-07
224-18-1285,(03)-7973-8405,Washington (District of Columbia),Divorced,Vina Vaccaro,1989-05-21
425-99-1872,(05)-5125-4870,Chula Vista (California),Common-Law,Billie Black,1977-03-22
339-23-1615,(08)-3460-5713,Baton Rouge (Louisiana),Divorced,Cassie Aragon,1980-02-22
323-34-1954,(07)-5794-5713,Nashville (Tennessee),Single,Isabel Edgar,1985-02-21
429-51-1043,(08)-6473-8223,Anchorage (Alaska),Single,Isabel Gardner,1987-05-03
408-55-1093,(04)-5502-5119,Houston (Texas),Married,Karren Sands,1970-06-08
429-34-1605,(07)-5580-4176,Laredo (Texas),Common-Law,Rosalyn Hendrix,1970-08-02
368-44-1061,(08)-8685-3563,Pittsburgh (Pennsylvania),Married,Wanda Truong,1974-01-12
323-23-1757,(07)-7504-7887,Albuquerque (New Mexico),Divorced,Max Gilmore,1989-01-31
166-23-1688,(08)-9292-5019,Fresno (California),Divorced,Peggy Kitchen,1980-12-13
323-51-1753,(03)-9999-7402,Irvine (California),Married,Maura Fuchs,1974-11-30
238-23-1338,(09)-6812-5075,Portland (Oregon),Divorced,Cassie Olson,1969-05-22
320-54-1331,(03)-2926-7402,Chandler (Arizona),Single,Hugo Yazzie,1987-05-05
116-81-1506,(09)-5050-5686,Scottsdale (Arizona),Common-Law,Kerry Behr,1988-01-07
116-30-1758,(08)-5592-5560,Lincoln (Nebraska),Divorced,Fairy Fava,1984-11-27
339-54-1912,(09)-5902-8055,Boise (Idaho),Single,Ross Council,1989-06-15
339-32-1940,(05)-3858-4206,San Antonio (Texas),Divorced,Josephine Aubry,1975-07-16
391-30-1285,(09)-9854-6629,Mesa (Arizona),Common-Law,Matthew Wolters,1969-03-02
279-55-1108,(09)-7504-7434,Wichita (Kansas),Divorced,Nakesha Rausch,1979-05-04
425-25-1772,(08)-1350-2465,Santa Ana (California),Single,Janelle Mccasland,1986-10-28
287-99-1061,(05)-5330-8568,Indianapolis[11] (Indiana),Married,Homer Bogart,1981-02-15
381-82-1263,(07)-3433-7352,Minneapolis (Minnesota),Divorced,Billie Mixon,1970-09-19
144-55-1038,(05)-6191-3197,Toledo (Ohio),Common-Law,Janis Metzger,1975-09-14
323-30-1022,(07)-3858-2725,Stockton (California),Married,Nona Harding,1986-10-10
301-82-1376,(09)-5330-7352,Bakersfield (California),Single,Vickie Ford,1977-01-22
425-25-1811,(07)-9292-4870,Chula Vista (California),Divorced,Andy Thrift,1980-11-27
287-25-1067,(07)-5179-2735,Orlando (Florida),Married,Nola Dyck,1984-10-12
287-82-1979,(09)-7703-3563,Toledo (Ohio),Married,Howard Bruce,1990-06-23
144-23-1579,(05)-6865-5202,Detroit (Michigan),Married,Brendan Morgan,1978-05-25
279-31-1137,(08)-1199-7887,San Antonio (Texas),Married,Quentin Solum,1975-12-14
323-60-1809,(05)-3949-4394,Winston–Salem (North Carolina),Married,Justina Mantz,1988-11-15
301-32-1981,(05)-5050-7370,Gilbert (Arizona),Divorced,Harry Rosenberg,1976-07-30
144-46-1491,(05)-5854-6898,Laredo (Texas),Common-Law,Kelley Delarosa,1970-04-28
177-81-1924,(07)-5050-5119,Miami (Florida),Married,Brant Loos,1984-09-20
138-34-1259,(03)-6975-5119,Austin (Texas),Common-Law,Junior Mulholland,1973-11-20
408-44-1339,(08)-6975-7191,Fremont (California),Common-Law,Alvin Daluz,1975-02-28
144-83-1543,(09)-7973-9187,Norfolk (Virginia),Divorced,Bertie Weems,1986-05-30
138-81-1199,(04)-5062-8432,Virginia Beach (Virginia),Common-Law,Rex Erbe,1982-12-06
238-46-1957,(07)-7508-2315,Reno (Nevada),Divorced,Kelly Wray,1985-06-04
323-81-1805,(05)-4370-5036,Pittsburgh (Pennsylvania),Divorced,Felicia Mcleod,1979-06-22
287-82-1148,(04)-5580-4983,Bakersfield (California),Common-Law,Esperanza Craft,1980-02-03
224-83-1727,(03)-4858-2725,Dallas (Texas),Divorced,Nickolas Hepner,1972-02-29
138-34-1506,(04)-5179-3262,Stockton (California),Common-Law,Kelly Roe,1980-03-26
116-34-1399,(07)-4286-1433,Los Angeles (California),Divorced,Guadalupe Scroggins,1973-08-13
391-34-1463,(08)-5062-3563,Mesa (Arizona),Divorced,Clark Dominguez,1984-03-27
287-46-1158,(04)-8685-5965,Boston (Massachusetts),Divorced,Dayle Swanger,1983-10-17
238-34-1535,(03)-6473-8432,Minneapolis (Minnesota),Married,Ismael Trudell,1985-04-04
429-60-1519,(09)-6486-5019,Chandler (Arizona),Common-Law,Shaunna Large,1976-06-05
279-74-1038,(04)-5179-5965,Miami (Florida),Divorced,Kathryn Ladd,1972-11-22
138-44-1145,(03)-5502-8193,San Antonio (Texas),Divorced,Martha Henton,1973-07-23
425-82-1413,(09)-6191-4870,Detroit (Michigan),Married,Irvin Plemons,1983-04-02
429-81-1549,(05)-3949-7434,New Orleans (Louisiana),Common-Law,Velma Bain,1981-02-16
238-82-1851,(05)-3339-3554,Raleigh (North Carolina),Single,Grady Bartholomew,1969-03-26
368-55-1442,(03)-5062-8055,Glendale (Arizona),Single,Leo Clements,1987-12-03
287-51-1602,(03)-3320-6781,Memphis (Tennessee),Common-Law,Penny Moberg,1976-07-09
166-46-1050,(03)-7703-5075,Tucson (Arizona),Common-Law,Henrietta Burrows,1983-11-23
287-31-1994,(09)-5146-2735,Kansas City (Missouri),Common-Law,Jason Mace,1984-09-04
381-74-1424,(05)-2926-3997,Bakersfield (California),Married,Debora Cunningham,1988-10-22
287-32-1771,(04)-8685-7370,San Bernardino (California),Single,Domenica Woodall,1975-10-12
425-44-1329,(08)-8685-5970,St. Petersburg (Florida),Divorced,Doreen Kosinski,1969-02-23
138-34-1943,(04)-5330-1179,Omaha (Nebraska),Common-Law,Allen Mulloy,1977-04-24
238-83-1620,(04)-8435-9910,Austin (Texas),Single,Lucinda Landrum,1972-09-25
381-93-1723,(05)-4286-5713,Chesapeake (Virginia),Common-Law,Marcella Watkins,1982-11-02
391-82-1394,(07)-6975-8567,Saint Paul (Minnesota),Divorced,Shanna Talton,1983-04-28
425-44-1891,(04)-6191-6781,North Las Vegas (Nevada),Common-Law,Carlton Sikora,1990-10-24
368-93-1981,(04)-5502-8942,Gilbert (Arizona),Common-Law,Leona Krier,1972-04-04
224-25-1374,(03)-6473-2115,Plano (Texas),Married,Belle Maynor,1973-08-26
144-60-1840,(05)-7504-7414,Stockton (California),Divorced,Beatriz Utz,1973-10-16
381-82-1216,(05)-5146-4208,Irvine (California),Single,Elliot Rosas,1970-10-20
368-55-1866,(04)-1350-4444,Fresno (California),Married,Carissa Miley,1974-05-25
224-55-1602,(05)-3339-6500,New Orleans (Louisiana),Divorced,Clayton Chill,1970-09-26
339-74-1413,(07)-3468-7352,Laredo (Texas),Single,Frederick Dement,1977-06-03
144-31-1417,(03)-8685-7402,Honolulu (Hawaii),Single,Lesha Vanhook,1984-07-03
323-44-1605,(03)-6473-2735,Aurora (Colorado),Common-Law,Nicki Denis,1978-05-02
177-99-1882,(04)-9999-5326,Portland (Oregon),Common-Law,Ashley Wolff,1975-04-23
425-55-1262,(03)-5592-8405,Phoenix (Arizona),Divorced,Tyson Mckim,1976-09-30
429-74-1496,(08)-5330-7370,Richmond (Virginia),Married,Denver Chin,1977-04-08
339-83-1043,(05)-9292-8193,Denver (Colorado),Common-Law,Lori Stolte,1973-03-29
138-83-1545,(05)-9854-1079,Sacramento (California),Divorced,Amos Eldredge,1980-11-08
381-99-1022,(04)-3433-6362,Anaheim (California),Common-Law,Kayla Ashcroft,1974-02-23
323-25-1093,(05)-5050-6922,Austin (Texas),Common-Law,Lilia Romaine,1981-03-05
381-54-1061,(05)-1350-4983,North Las Vegas (Nevada),Divorced,Pennie Gower,1987-04-24
425-34-1253,(03)-5902-8507,San Francisco (California),Divorced,Josiah Yoder,1985-02-22
368-60-1856,(04)-8288-8548,Hialeah (Florida),Married,Bobby Akridge,1981-11-10
216-31-1083,(05)-5050-5965,Dallas (Texas),Married,Sherman Moyers,1984-07-24
238-30-1022,(07)-9854-5202,Indianapolis[11] (Indiana),Common-Law,Val Braithwaite,1971-06-11
339-18-1159,(05)-9999-4606,Fort Wayne (Indiana),Divorced,Tomas Papineau,1981-03-21
116-60-1341,(07)-3460-6362,Fort Worth (Texas),Married,Eva Clabaugh,1970-12-31
216-83-1940,(05)-7703-3197,Anchorage (Alaska),Single,Brian Gettinger,1984-07-17
408-32-1288,(08)-2298-1179,Houston (Texas),Single,Augusta Garrard,1970-04-17
391-25-1022,(04)-5592-5202,San Diego (California),Divorced,Kecia Phelps,1989-12-12
323-31-1753,(07)-9999-1179,New York (New York),Divorced,Rex Eilers,1986-03-09
279-18-1680,(09)-6745-1079,Las Vegas (Nevada),Common-Law,Caleb Gavin,1982-10-27
368-30-1883,(09)-9999-9470,Hialeah (Florida),Common-Law,Bertha Erskine,1981-12-10
144-83-1054,(07)-5902-1079,Orlando (Florida),Common-Law,Tania Munoz,1969-06-21
224-55-1202,(03)-6975-3563,Miami (Florida),Single,Matthew Ferber,1979-04-02
339-93-1359,(09)-3460-3038,Lubbock (Texas),Divorced,Adela Swindell,1979-01-25
381-82-1507,(08)-6473-1633,Long Beach (California),Divorced,Annette Messenger,1969-06-04
144-30-1217,(07)-5854-5970,San Bernardino (California),Single,April Jorgenson,1970-05-07
177-60-1727,(07)-8435-1079,Lubbock (Texas),Married,Josef Hume,1981-01-14
138-54-1217,(05)-2926-9910,Chesapeake (Virginia),Divorced,Inell Heroux,1975-03-30
116-83-1805,(03)-7973-1633,Washington (District of Columbia),Common-Law,Lyle Robison,1969-09-27
391-85-1012,(04)-5050-4444,Los Angeles (California),Married,Elton Salmons,1976-04-14
429-23-1344,(05)-3320-3345,Orlando (Florida),Single,Kyle Shropshire,1981-09-03
320-55-1224,(07)-5050-1633,Irvine (California),Single,Eleanor Kirk,1977-03-07
