ccntype,ccn,validthru,key,pin,quota
Visa,3608-1333-4038-1518,2022-06-30,5261,499,1000
U.S. Bank,3608-1192-5152-1037,2019-07-30,7932,953,1400
Capital One,3608-1192-4342-1983,2025-05-20,3345,466,1100
Capital One,3608-2751-5407-1220,2022-10-04,3169,860,1900
Capital One,3608-2596-4580-1551,2020-08-09,5786,524,1900
Discover,3608-1395-5132-1795,2020-07-30,6243,648,1600
PNC,3608-1682-4856-1182,2019-08-26,3984,845,1700
U.S. Bank,3608-1782-4657-1185,2023-01-21,5275,155,1700
Wells Fargo,3608-1395-5724-1935,2020-06-04,4324,402,1600
Visa,3608-2596-4523-1306,2020-09-05,3953,736,1000
U.S. Bank,3608-1395-5766-1465,2022-02-13,4560,065,1100
USAA,3608-1682-4458-1794,2020-12-12,6661,657,1200
PNC,3608-1721-4657-1188,2024-06-20,2101,323,1200
Bank of America,3608-2968-4005-1936,2022-10-24,2373,019,2000
Discover,3608-2588-5196-1121,2022-11-01,2201,468,1600
MasterCard,3608-2596-5394-1220,2024-08-14,3317,978,1700
USAA,3608-1721-5884-1140,2020-04-07,7555,579,1300
Visa,3608-2507-4383-1705,2021-04-24,6949,745,1000
Citibank,3608-2751-4158-1646,2024-07-21,6159,571,1900
Bank of America,3608-2751-5634-1198,2021-10-15,6866,227,1600
MasterCard,3608-1782-5394-1551,2025-07-14,4831,152,1800
Visa,3608-1192-4711-1629,2020-04-08,3196,857,1000
U.S. Bank,3608-2596-4158-1637,2024-07-21,2250,666,1100
Wells Fargo,3608-1721-5884-1693,2018-10-16,4799,677,1400
American Express,3608-2588-5030-1931,2025-10-13,6444,392,1300
USAA,3608-2588-5791-1673,2021-07-14,7769,420,1300
PNC,3608-1682-4038-1999,2025-04-03,4891,922,2000
Chase,3608-2800-5132-1278,2021-10-20,2898,427,1200
BarclayCard US,3608-2181-5152-1617,2023-12-28,4556,703,1800
MasterCard,3608-1395-5333-1717,2023-10-05,7183,160,1400
Bank of America,3608-2751-4236-1381,2021-02-01,2829,243,1700
Bank of America,3608-1682-4668-1892,2023-11-11,5489,920,2000
Capital One,3608-2507-4329-1474,2021-09-11,2299,439,1200
American Express,3608-2968-5884-1163,2019-09-07,6593,041,1100
BarclayCard US,3608-2507-5470-1583,2021-12-02,2146,068,1600
Bank of America,3608-2181-4329-1614,2019-10-27,7668,044,1600
USAA,3608-2800-4668-1377,2018-11-05,2442,910,1400
Capital One,3608-2507-5890-1038,2019-01-04,3031,325,1100
Citibank,3608-2181-4236-1194,2019-07-01,3741,584,1400
BarclayCard US,3608-2751-4342-1214,2019-11-18,4853,397,2000
American Express,3608-2596-5152-1194,2025-03-31,6857,457,1700
Capital One,3608-2507-5696-1761,2025-06-14,3695,180,1600
U.S. Bank,3608-2596-5407-1054,2021-07-03,3518,541,1000
Discover,3608-2751-5152-1306,2020-08-20,5893,767,2000
USAA,3608-2596-4383-1194,2021-03-23,5810,088,1800
Capital One,3608-2588-4668-1278,2021-12-15,7161,708,1600
Visa,3608-2181-5132-1980,2020-04-30,6928,710,1900
Visa,3608-2968-5638-1900,2023-08-12,5224,899,1900
MasterCard,3608-2800-5884-1551,2020-05-25,7201,840,1500
Bank of America,3608-1782-5015-1407,2024-04-22,5596,915,1300
Chase,3608-1682-5988-1821,2023-02-02,6966,631,1500
MasterCard,3608-2800-5489-1646,2022-11-19,2153,082,2000
Citibank,3608-1333-4329-1968,2020-12-09,2240,811,1100
Citibank,3608-1333-5745-1001,2025-05-08,4907,174,1200
American Express,3608-2181-5745-1038,2019-03-26,2169,890,1500
Discover,3608-2596-5458-1497,2018-03-23,8050,325,1900
MasterCard,3608-2751-5459-1828,2024-07-06,7943,689,1700
Capital One,3608-1721-4711-1794,2024-07-12,4981,634,1800
PNC,3608-2507-4657-1837,2023-05-24,6379,278,1700
Visa,3608-1682-5132-1440,2020-01-18,7205,527,1600
Wells Fargo,3608-1682-5638-1637,2024-02-22,4195,578,1900
American Express,3608-2067-4264-1024,2021-05-28,4928,235,1700
Chase,3608-1192-5458-1198,2018-05-28,3513,508,1000
Discover,3608-1721-5791-1668,2025-09-05,5282,731,1500
Citibank,3608-1395-4005-1361,2022-10-10,4872,239,1600
Wells Fargo,3608-2751-4394-1014,2020-02-19,2318,468,1100
MasterCard,3608-1782-5983-1916,2024-12-11,2536,828,1000
Discover,3608-1682-5791-1686,2019-12-20,7736,823,1100
Bank of America,3608-2800-5132-1839,2023-12-24,3651,180,1100
MasterCard,3608-1333-5884-1660,2025-10-01,6922,446,1200
U.S. Bank,3608-2181-5634-1936,2020-02-03,6353,137,1600
Discover,3608-1721-4236-1188,2021-02-21,6132,394,1400
Citibank,3608-2588-5632-1686,2019-12-08,6956,327,2000
Capital One,3608-1192-4951-1596,2025-09-27,2157,907,1800
USAA,3608-2181-4711-1717,2025-02-02,7501,364,1800
PNC,3608-1395-5750-1355,2020-10-18,5991,758,1100
U.S. Bank,3608-1682-5551-1300,2023-03-20,3200,860,1000
Discover,3608-1721-4394-1407,2025-12-18,5654,823,1200
U.S. Bank,3608-2800-4458-1052,2025-03-05,6799,473,2000
BarclayCard US,3608-1395-5766-1109,2019-01-09,4426,786,2000
U.S. Bank,3608-1333-5551-1839,2018-06-27,2827,621,1400
Chase,3608-1721-5152-1094,2023-01-12,7832,227,1000
Visa,3608-2751-4458-1744,2021-07-05,3833,382,1000
USAA,3608-2507-5724-1134,2020-01-20,3526,322,1800
Visa,3608-1782-5983-1976,2022-07-08,6831,482,1900
Citibank,3608-1395-5750-1617,2024-10-13,5589,669,1100
PNC,3608-2968-5638-1198,2021-10-18,4531,133,2000
MasterCard,3608-1721-5890-1428,2023-09-05,2530,567,1000
USAA,3608-2800-4344-1134,2021-04-05,2207,673,1300
U.S. Bank,3608-2800-5724-1056,2019-08-14,5852,754,1100
Chase,3608-2507-5470-1322,2024-12-31,6651,604,1200
Bank of America,3608-2067-5745-1037,2021-05-16,4479,909,1200
MasterCard,3608-2507-5038-1214,2020-08-29,4027,106,1100
U.S. Bank,3608-1782-5333-1551,2023-03-04,4522,497,1000
MasterCard,3608-2507-4951-1856,2019-02-21,3613,641,1600
USAA,3608-2800-4236-1980,2019-10-14,4890,851,1100
American Express,3608-2751-5458-1583,2025-11-02,7447,906,1400
USAA,3608-2800-5470-1109,2020-06-22,4550,880,1300
Capital One,3608-1682-5756-1614,2019-03-17,7698,678,1400
Wells Fargo,3608-2507-5333-1214,2018-01-30,4906,542,1300
MasterCard,3608-1192-5551-1301,2025-08-18,3241,736,1400
Capital One,3608-1782-5745-1190,2023-04-21,4784,982,1400
Discover,3608-1682-4236-1682,2018-09-22,8007,917,2000
USAA,3608-2067-4951-1068,2020-04-18,2528,831,1300
MasterCard,3608-2800-5459-1214,2019-04-06,2201,243,1400
Wells Fargo,3608-1192-4318-1668,2022-05-31,3629,246,1400
Visa,3608-2507-5766-1614,2022-03-02,2001,053,1700
American Express,3608-2588-5638-1130,2025-06-30,4088,416,1300
Visa,3608-1782-5632-1383,2022-04-04,5142,060,1400
MasterCard,3608-2067-5333-1344,2024-12-04,3844,228,1400
Bank of America,3608-2596-5696-1121,2025-06-21,5478,869,1900
Visa,3608-1721-4158-1185,2021-02-06,7937,582,1000
American Express,3608-2800-5152-1935,2023-10-22,7203,086,1900
American Express,3608-1192-5030-1646,2020-02-28,3208,628,1400
Discover,3608-2968-4856-1686,2021-04-10,3435,584,1900
PNC,3608-2507-4523-1381,2024-03-29,7216,514,1700
MasterCard,3608-1333-5791-1245,2024-08-05,1991,579,1100
American Express,3608-2588-4711-1140,2021-09-05,3114,552,1500
Visa,3608-1192-5756-1629,2025-03-31,7677,285,1000
PNC,3608-2800-4354-1014,2023-09-06,5200,299,2000
Wells Fargo,3608-2751-5724-1128,2023-12-03,3343,433,1000
USAA,3608-2800-5489-1306,2022-05-19,5641,997,1200
Chase,3608-2596-5470-1744,2021-12-29,3715,623,1600
Citibank,3608-1333-4668-1804,2024-02-27,4834,390,1100
Discover,3608-2507-4038-1001,2022-09-18,4260,461,1900
Citibank,3608-2067-4038-1163,2022-01-27,2184,135,2000
PNC,3608-2800-5030-1214,2019-04-24,4497,930,1400
Discover,3608-2181-4344-1892,2021-01-24,7360,742,1700
BarclayCard US,3608-2596-4005-1361,2023-01-16,7127,223,1200
Discover,3608-1192-4264-1976,2022-09-27,6679,004,1500
MasterCard,3608-2588-5030-1130,2019-01-25,7787,757,2000
PNC,3608-2596-4158-1551,2022-06-08,7147,649,1300
Visa,3608-2067-5015-1001,2025-10-15,3581,143,1600
Wells Fargo,3608-1395-5394-1475,2024-01-13,5868,850,1900
Discover,3608-2507-4445-1351,2019-03-04,3476,814,1600
USAA,3608-1192-4711-1214,2021-09-10,3161,200,1400
Discover,3608-2507-5394-1190,2021-11-15,7140,815,1600
American Express,3608-1682-5634-1821,2025-05-16,2109,504,1900
PNC,3608-1395-4668-1960,2023-05-08,6146,710,1900
U.S. Bank,3608-2067-5132-1109,2018-06-17,3796,112,1700
Citibank,3608-1395-5696-1301,2025-02-17,7642,512,1800
MasterCard,3608-2596-5196-1476,2024-05-23,5310,563,1100
MasterCard,3608-2800-5884-1717,2018-04-02,2320,168,1100
Wells Fargo,3608-1721-5459-1593,2024-06-06,2392,871,1200
Wells Fargo,3608-2588-4523-1109,2022-06-06,4304,641,1200
Chase,3608-2800-4038-1828,2023-03-17,6068,690,1800
Wells Fargo,3608-1782-5333-1274,2020-03-10,3260,426,1400
Citibank,3608-2181-5459-1220,2020-05-13,7399,798,1900
BarclayCard US,3608-2181-4458-1537,2019-07-07,6590,350,1900
Citibank,3608-1782-4951-1163,2020-02-21,3381,058,1000
Bank of America,3608-1721-5470-1761,2023-11-17,3480,994,1400
BarclayCard US,3608-1682-4951-1646,2022-09-05,7948,436,1000
American Express,3608-2588-5489-1960,2025-08-13,5277,476,1000
Citibank,3608-2181-5766-1968,2022-03-06,6109,093,1200
Wells Fargo,3608-2751-5988-1668,2022-12-26,3118,096,1600
Capital One,3608-2751-4329-1214,2024-07-23,2656,099,1700
MasterCard,3608-1395-5038-1596,2020-11-28,8002,229,1900
PNC,3608-1782-4445-1761,2019-05-23,3859,947,1000
Capital One,3608-2181-4951-1915,2018-01-09,3141,322,1400
Chase,3608-2596-5196-1351,2025-11-02,3368,843,1900
American Express,3608-2067-5458-1344,2018-08-08,2919,707,1100
Discover,3608-1333-5634-1292,2025-09-22,3377,296,1500
Discover,3608-2181-5459-1014,2018-01-18,6089,861,1200
Visa,3608-2067-4005-1935,2020-10-11,6104,615,1900
Citibank,3608-1333-5407-1109,2023-01-17,5217,931,1900
Wells Fargo,3608-1395-5983-1603,2020-08-26,7241,472,1600
PNC,3608-1721-4288-1322,2024-10-03,7037,283,1500
Visa,3608-1192-4657-1537,2020-11-17,5310,499,1800
MasterCard,3608-2067-5030-1032,2021-12-31,4276,681,1500
Capital One,3608-2067-5696-1038,2022-12-29,5908,694,1100
Citibank,3608-2800-5696-1055,2020-04-20,6515,884,1800
PNC,3608-2968-5394-1064,2018-04-09,8050,774,1000
Visa,3608-2181-4342-1518,2020-01-18,7239,917,1000
Citibank,3608-2968-5696-1999,2019-01-17,6359,652,1400
Citibank,3608-2181-4523-1572,2019-10-03,5935,981,1800
Citibank,3608-1395-5333-1322,2025-09-29,6270,581,1100
U.S. Bank,3608-1333-5696-1182,2020-03-10,6112,493,1800
USAA,3608-1192-5470-1705,2022-01-27,3497,896,1400
Capital One,3608-1395-5890-1220,2018-12-28,5993,741,1200
Citibank,3608-2588-4160-1300,2019-02-27,3212,288,1400
Citibank,3608-2800-5459-1682,2021-12-18,3798,011,1000
MasterCard,3608-2800-5470-1255,2019-12-14,6064,852,1900
Bank of America,3608-1682-4005-1915,2023-07-28,4531,170,1500
Discover,3608-2968-4580-1936,2022-10-10,5693,368,1100
Wells Fargo,3608-1333-4711-1837,2024-07-24,3607,076,1100
USAA,3608-2588-4458-1476,2024-10-23,3734,060,1800
MasterCard,3608-2968-5691-1053,2022-12-14,4240,882,1300
American Express,3608-1782-5459-1593,2022-04-29,7431,863,1000
Capital One,3608-2800-5745-1109,2021-08-15,3651,968,1900
PNC,3608-2067-4711-1130,2020-01-08,7009,010,1500
American Express,3608-1782-4038-1900,2023-04-26,5991,731,2000
USAA,3608-2751-5988-1322,2018-10-10,3268,025,1100
PNC,3608-2751-5551-1009,2020-07-26,2888,874,1500
American Express,3608-1782-5745-1130,2020-04-24,3483,467,1500
MasterCard,3608-2968-5196-1355,2023-03-19,3094,923,1100
Discover,3608-1395-4445-1300,2020-04-24,7546,778,1700
American Express,3608-1395-4329-1351,2023-11-08,5114,198,1000
Citibank,3608-2588-5015-1255,2019-06-22,2217,756,1500
Discover,3608-2588-4523-1693,2019-02-04,2103,280,1800
Capital One,3608-2596-4160-1631,2022-10-09,6271,169,2000
U.S. Bank,3608-2596-5724-1960,2018-10-19,5991,546,1700
BarclayCard US,3608-2067-4264-1037,2025-10-20,4506,626,1500
MasterCard,3608-1682-5196-1537,2024-09-01,5537,892,1100
U.S. Bank,3608-2800-4994-1244,2024-10-10,5647,900,1500
Citibank,3608-2751-5015-1399,2018-02-13,6028,233,1900
PNC,3608-2067-5394-1188,2025-02-18,5287,569,1800
PNC,3608-1721-5691-1130,2018-03-02,3295,604,2000
USAA,3608-1333-5459-1744,2023-08-14,3129,063,1600
USAA,3608-1782-5470-1794,2022-10-30,4008,236,1900
Citibank,3608-2067-4711-1744,2019-07-30,4824,838,1100
U.S. Bank,3608-2507-5884-1435,2025-05-14,6134,726,1300
American Express,3608-2067-5724-1603,2021-10-12,7480,364,1600
BarclayCard US,3608-1721-5489-1631,2021-02-15,6756,376,1200
USAA,3608-2596-4668-1475,2024-11-05,4869,470,1500
Discover,3608-1782-4158-1629,2019-06-30,4853,845,1600
BarclayCard US,3608-2588-4354-1718,2020-02-14,4680,457,1800
BarclayCard US,3608-2507-4342-1980,2024-02-11,4853,737,1500
BarclayCard US,3608-2968-4523-1244,2020-05-21,5554,076,1800
Citibank,3608-2588-4994-1361,2018-09-19,5236,542,2000
PNC,3608-2800-5983-1129,2024-04-03,3366,262,1900
Chase,3608-2067-5724-1718,2018-04-04,7841,524,1000
U.S. Bank,3608-1395-4445-1682,2025-04-19,6987,483,1500
Citibank,3608-1721-5884-1916,2019-12-27,8047,068,2000
American Express,3608-2596-4458-1673,2021-11-27,3528,649,1300
Discover,3608-1682-5038-1064,2021-12-19,5665,454,1600
Visa,3608-2596-5015-1140,2018-09-03,2007,510,1000
Capital One,3608-2800-5750-1844,2018-07-13,4128,490,1300
Chase,3608-1333-4951-1054,2018-11-04,6947,623,1000
Chase,3608-1333-5634-1300,2025-02-17,7738,179,1400
Discover,3608-1782-4288-1407,2023-09-13,3405,991,1600
Wells Fargo,3608-1333-4160-1351,2019-04-20,7813,779,1800
Capital One,3608-1721-5015-1278,2022-11-07,6131,161,1000
U.S. Bank,3608-2588-4668-1856,2018-04-19,5140,937,1600
PNC,3608-2067-4342-1194,2022-09-15,4737,432,1900
BarclayCard US,3608-2968-5691-1129,2023-04-03,3548,520,1200
American Express,3608-1721-5634-1693,2025-06-18,5267,127,1200
PNC,3608-2751-5030-1157,2023-08-15,3073,520,1600
MasterCard,3608-1782-4994-1140,2024-11-02,5475,710,1300
Discover,3608-1721-5791-1381,2024-06-26,2611,028,1600
Visa,3608-2800-5132-1094,2020-01-26,2679,357,1900
MasterCard,3608-1192-4318-1983,2018-01-14,2909,042,2000
Citibank,3608-2596-5333-1551,2018-04-17,6912,663,1900
Capital One,3608-1782-5394-1821,2022-10-27,5386,276,1900
BarclayCard US,3608-2596-5038-1693,2022-08-16,5963,617,1000
Bank of America,3608-1721-5884-1583,2020-01-01,7370,116,1900
BarclayCard US,3608-2968-5791-1476,2021-06-29,6274,894,1800
USAA,3608-2181-4445-1163,2020-03-14,4328,972,1600
USAA,3608-1395-4523-1032,2021-01-27,7442,901,1300
MasterCard,3608-1395-4288-1163,2025-11-09,6275,839,1800
USAA,3608-1682-4383-1344,2018-07-11,3255,241,1700
Wells Fargo,3608-2067-5132-1130,2021-11-19,5547,892,1700
MasterCard,3608-1721-4580-1637,2022-04-14,6514,423,1200
Chase,3608-2596-5983-1215,2023-09-09,5239,262,2000
Wells Fargo,3608-1192-5750-1189,2024-05-01,6084,089,1300
Bank of America,3608-1682-5038-1190,2023-02-22,6595,587,1300
USAA,3608-1682-5884-1134,2020-04-17,6307,688,1000
Citibank,3608-1395-5152-1589,2020-04-24,3825,185,1900
BarclayCard US,3608-2968-4580-1014,2023-10-15,5749,402,1400
PNC,3608-1395-5634-1795,2020-09-23,3338,574,1300
USAA,3608-1721-4394-1603,2025-02-08,2348,668,1600
MasterCard,3608-1782-5489-1163,2020-01-09,5939,488,1900
Bank of America,3608-2968-5691-1024,2018-02-19,2652,566,1600
PNC,3608-2751-5152-1157,2020-10-03,4788,335,1800
Visa,3608-2751-5030-1558,2020-01-25,5252,510,2000
Wells Fargo,3608-1395-5470-1761,2018-08-06,5674,673,1800
BarclayCard US,3608-2751-4994-1064,2021-01-16,7499,159,1800
PNC,3608-1682-5634-1188,2021-04-22,7001,815,1500
USAA,3608-2507-4264-1220,2022-06-06,3316,990,1300
Wells Fargo,3608-2800-5458-1032,2023-06-28,4728,647,1800
Bank of America,3608-1333-5750-1032,2021-06-13,7431,812,1100
Citibank,3608-2968-4005-1637,2019-04-28,2371,437,1500
U.S. Bank,3608-2596-5132-1465,2019-09-11,5564,036,1300
USAA,3608-1721-4344-1054,2019-08-18,6159,863,1800
Citibank,3608-2596-5132-1983,2025-08-11,6051,994,1200
USAA,3608-2968-5132-1134,2023-03-14,7810,368,1700
MasterCard,3608-2588-4458-1537,2021-04-10,3260,392,1500
Capital One,3608-1782-4354-1572,2022-12-07,5683,756,1900
Wells Fargo,3608-2968-5038-1617,2018-10-17,4199,169,2000
PNC,3608-1682-5638-1916,2024-03-12,2916,563,1900
American Express,3608-2751-5766-1189,2021-08-31,2199,780,1800
Capital One,3608-1782-4160-1355,2023-09-14,7693,855,1700
Capital One,3608-2968-5766-1916,2018-12-29,3985,844,1800
American Express,3608-1682-5038-1255,2018-12-02,7807,093,1400
Bank of America,3608-2596-5884-1181,2020-01-17,4892,256,1000
BarclayCard US,3608-2596-5196-1216,2019-09-26,3992,459,1400
BarclayCard US,3608-2588-4005-1837,2020-01-26,6991,129,1900
Visa,3608-2968-5551-1255,2022-09-30,3481,386,1700
Citibank,3608-1782-5196-1054,2023-06-21,6899,894,1700
Visa,3608-1333-5724-1497,2019-08-18,6842,916,1600
PNC,3608-2596-4668-1265,2021-06-06,2509,580,1900
Citibank,3608-2751-4994-1717,2022-10-06,2648,987,2000
Chase,3608-2588-5988-1935,2021-09-14,7150,548,1900
PNC,3608-2596-5983-1475,2019-12-11,3841,830,1400
Chase,3608-1333-5407-1705,2023-10-30,6593,280,1300
PNC,3608-2596-4005-1497,2024-08-29,2194,762,1200
Citibank,3608-1721-5551-1761,2024-02-21,3991,656,1900
BarclayCard US,3608-2067-4458-1935,2019-03-11,7189,099,1300
BarclayCard US,3608-2596-4668-1474,2019-11-08,6894,965,1600
BarclayCard US,3608-2968-4657-1551,2020-10-28,5855,567,1900
USAA,3608-2067-4458-1134,2022-03-03,4637,642,1700
Chase,3608-2507-5745-1220,2020-12-29,2056,676,1600
USAA,3608-1721-4668-1265,2024-09-21,4287,259,1000
Bank of America,3608-2181-5196-1983,2020-01-05,4516,488,1100
American Express,3608-1192-4329-1761,2020-05-30,5907,815,1000
BarclayCard US,3608-2968-4005-1518,2023-04-05,2648,005,1800
U.S. Bank,3608-2507-4038-1693,2019-03-15,3396,976,1500
Capital One,3608-2800-5983-1355,2022-04-27,3786,370,1100
Chase,3608-2181-4445-1301,2024-10-05,6627,308,1300
U.S. Bank,3608-2181-4342-1198,2022-01-29,2463,762,1600
Discover,3608-2507-5638-1761,2020-01-18,4797,089,1200
Capital One,3608-1721-5696-1274,2024-05-30,4316,083,1900
MasterCard,3608-1192-4951-1157,2019-06-03,2124,758,1300
Capital One,3608-2507-4994-1682,2024-07-12,6386,039,1900
Capital One,3608-2588-5407-1351,2023-06-29,5778,941,1800
USAA,3608-2968-5791-1163,2024-10-22,6667,411,1600
MasterCard,3608-2181-4354-1745,2024-04-18,4349,979,1500
Citibank,3608-2800-5333-1718,2022-12-15,2997,275,1700
Wells Fargo,3608-2596-4523-1322,2018-05-19,2389,009,2000
Discover,3608-2067-5638-1037,2025-06-14,6204,884,1100
Visa,3608-1682-5724-1631,2024-09-07,7479,626,2000
USAA,3608-2751-5988-1216,2020-04-28,7776,106,1400
USAA,3608-2588-4158-1465,2019-04-19,2009,613,1700
USAA,3608-2067-4951-1794,2025-03-16,6790,823,1300
Discover,3608-2800-5632-1717,2019-06-03,4372,265,1500
Visa,3608-2751-5750-1265,2021-06-29,5477,095,1900
Discover,3608-1333-4523-1673,2025-12-25,6846,082,1900
Discover,3608-2596-4318-1292,2024-01-11,6826,336,1300
U.S. Bank,3608-1682-4005-1717,2019-01-26,4689,262,1600
USAA,3608-1782-5407-1915,2020-10-16,7229,748,1600
Visa,3608-2751-5791-1214,2020-04-01,7756,836,1200
BarclayCard US,3608-2596-5333-1300,2020-04-28,6911,447,1400
Wells Fargo,3608-1192-5756-1537,2022-10-14,4687,997,2000
Chase,3608-2507-5015-1068,2020-06-11,5617,414,1300
Wells Fargo,3608-1192-4342-1128,2018-04-01,3359,444,2000
BarclayCard US,3608-2067-4354-1717,2021-08-10,2144,432,1700
USAA,3608-1395-5745-1094,2022-05-01,3895,573,1200
Citibank,3608-1333-4856-1844,2018-05-31,3672,706,1300
Visa,3608-1333-4951-1198,2021-06-21,4370,196,2000
MasterCard,3608-2588-4318-1668,2023-03-30,2941,566,1900
Discover,3608-2067-4711-1037,2022-10-30,4485,462,1500
American Express,3608-2596-4158-1442,2021-11-17,5733,171,1200
Chase,3608-2067-5489-1686,2019-05-01,6666,745,1900
Bank of America,3608-2968-4383-1215,2018-07-04,2509,099,2000
Citibank,3608-1395-4354-1935,2020-11-26,7685,876,1700
American Express,3608-1395-5458-1163,2019-01-06,6879,097,1200
Visa,3608-2751-5196-1056,2020-05-18,7943,316,1500
Discover,3608-2800-5407-1064,2018-11-19,6274,828,1700
Chase,3608-1333-5766-1518,2024-08-24,3984,875,1400
Capital One,3608-2800-5691-1935,2018-01-07,4313,343,1500
USAA,3608-2181-4445-1844,2024-01-29,4435,504,1000
Citibank,3608-2968-4344-1960,2019-12-08,5125,894,1000
U.S. Bank,3608-1395-4711-1474,2018-09-10,4504,973,1800
MasterCard,3608-2588-5791-1465,2024-02-29,4627,287,1900
Visa,3608-1782-4005-1129,2019-07-01,7927,059,1500
USAA,3608-2751-5551-1244,2023-03-08,4654,112,1900
Capital One,3608-1721-4160-1629,2018-10-04,2837,767,1700
Citibank,3608-2751-5724-1623,2020-02-24,3658,717,2000
USAA,3608-2596-5407-1134,2022-01-04,3301,352,1200
Visa,3608-2181-5745-1537,2020-03-02,5393,771,1500
PNC,3608-2751-5724-1053,2019-10-03,7388,156,1000
BarclayCard US,3608-2067-5394-1668,2018-03-08,5143,919,2000
Bank of America,3608-2968-4580-1055,2022-01-24,7742,689,1100
Wells Fargo,3608-2507-5766-1292,2021-05-13,6721,137,1200
PNC,3608-2800-4383-1614,2018-08-26,6389,509,1300
American Express,3608-2968-5470-1693,2022-10-09,4296,973,1000
Visa,3608-1721-4394-1214,2020-01-31,2173,505,1600
PNC,3608-2067-5766-1660,2025-09-20,5179,573,1000
Visa,3608-1333-4580-1381,2024-10-17,2268,648,1200
U.S. Bank,3608-1721-4394-1617,2021-07-31,3436,842,1200
Wells Fargo,3608-1395-5196-1182,2025-10-08,2799,191,1100
USAA,3608-1782-4344-1351,2019-11-29,6517,126,1300
U.S. Bank,3608-2588-4394-1844,2020-12-19,5221,828,1000
Chase,3608-2800-4580-1094,2023-03-10,2706,818,1200
Capital One,3608-2596-5791-1381,2024-09-01,2861,892,1200
Capital One,3608-1721-5988-1705,2019-08-30,6707,775,1400
U.S. Bank,3608-1721-5724-1668,2021-06-22,3518,526,1300
Bank of America,3608-1682-4580-1245,2020-10-26,6749,140,1800
Chase,3608-2596-5551-1056,2019-12-11,7505,766,1800
MasterCard,3608-1395-5152-1551,2024-03-02,3973,085,1600
Capital One,3608-2800-5333-1399,2019-06-05,4144,393,1200
USAA,3608-1782-5634-1603,2024-09-21,3585,577,2000
Chase,3608-2507-4342-1804,2018-06-29,5160,580,1600
Visa,3608-2507-4038-1931,2020-05-07,6441,412,1000
MasterCard,3608-2067-5458-1217,2024-02-26,5947,811,1100
American Express,3608-2968-5038-1163,2019-04-10,2193,631,1400
Visa,3608-1192-5983-1603,2022-10-14,7954,246,1900
PNC,3608-2067-4318-1613,2020-01-19,2462,826,1500
MasterCard,3608-1682-5791-1475,2023-12-10,6632,584,1800
U.S. Bank,3608-2596-5394-1936,2018-12-21,4701,217,1500
MasterCard,3608-2588-5691-1394,2023-07-24,1963,319,1900
Bank of America,3608-1682-5884-1216,2022-12-26,3610,020,1300
Visa,3608-2067-5983-1109,2022-07-12,4229,789,1700
Wells Fargo,3608-1682-5407-1399,2022-03-23,4752,007,1700
Citibank,3608-2067-4160-1968,2023-12-15,6257,914,1200
Capital One,3608-2588-5470-1435,2023-03-25,5121,526,1000
Visa,3608-1782-4288-1718,2019-01-31,4563,743,1200
Capital One,3608-1333-4668-1980,2022-03-19,4073,728,1300
Citibank,3608-2507-5407-1682,2025-12-19,2737,061,1000
Visa,3608-1682-5634-1394,2021-07-12,4857,677,1900
American Express,3608-2800-5983-1361,2021-12-03,2291,156,1200
Citibank,3608-1782-5696-1068,2020-06-30,2333,549,1400
Visa,3608-1333-5750-1394,2021-11-30,6319,530,1300
Chase,3608-2067-5030-1198,2021-11-20,5956,175,1500
Wells Fargo,3608-1682-5696-1301,2022-12-12,2458,435,2000
USAA,3608-2800-4856-1856,2025-11-06,2999,290,1700
BarclayCard US,3608-1395-5638-1693,2024-11-06,4166,874,1000
Chase,3608-2067-4994-1377,2019-10-23,6887,541,1400
Citibank,3608-1395-4236-1637,2019-09-01,3041,672,1300
Visa,3608-2968-4383-1682,2020-12-29,3300,331,1400
Bank of America,3608-1192-5038-1140,2018-02-22,4004,971,1300
Visa,3608-2067-5691-1465,2021-07-16,5697,054,2000
Wells Fargo,3608-1333-4580-1009,2025-09-25,6121,716,1700
Wells Fargo,3608-2067-4394-1377,2024-04-09,8048,532,1200
Citibank,3608-2751-5394-1804,2018-08-21,5846,450,1000
Bank of America,3608-1682-5696-1407,2020-10-11,5494,042,1900
U.S. Bank,3608-1395-5489-1596,2025-08-15,6858,431,1500
Chase,3608-1192-5638-1014,2021-06-22,7980,871,1700
BarclayCard US,3608-2507-5030-1474,2018-07-31,6586,469,1400
Citibank,3608-2800-5394-1705,2024-01-14,4587,521,1000
American Express,3608-1333-5152-1054,2024-07-14,4011,876,1000
Bank of America,3608-1682-4668-1597,2020-12-15,5736,673,1800
PNC,3608-2968-4668-1900,2019-03-05,6979,248,1000
BarclayCard US,3608-1333-5551-1474,2021-04-22,3824,844,1100
Discover,3608-1682-5766-1322,2023-07-30,4922,537,1400
Citibank,3608-2968-5470-1190,2023-08-05,4179,808,1000
American Express,3608-1333-5756-1053,2021-02-04,6187,804,1500
BarclayCard US,3608-1333-4236-1583,2018-11-26,6263,901,1900
Chase,3608-1333-4038-1215,2018-01-30,7386,785,1200
Capital One,3608-2067-5030-1603,2018-05-15,6962,083,1300
Wells Fargo,3608-1192-4158-1440,2018-07-08,4610,990,1500
MasterCard,3608-2596-5015-1064,2019-08-27,2725,748,1000
Visa,3608-1682-4458-1037,2021-03-06,3165,787,2000
